Trade #,Side,Entry Time,Entry Price,Exit Time,Exit Price,Position Size (USDT),PnL (USDT),PnL (%),Cumulative PnL (USDT)
909,SHORT,2022-07-08T16:53:59.999Z,1222.00,2022-07-08T17:40:59.999Z,1227.84,1000.00,-4.78,-0.4779,570.73
910,SHORT,2022-07-08T22:05:59.999Z,1232.76,2022-07-08T23:41:59.999Z,1238.82,1000.00,-4.92,-0.4916,565.81
911,SHORT,2022-07-08T23:49:59.999Z,1233.67,2022-07-09T05:02:59.999Z,1218.73,1000.00,12.11,1.2110,577.92
912,SHORT,2022-07-09T05:25:59.999Z,1214.70,2022-07-09T06:36:59.999Z,1216.75,1000.00,-1.69,-0.1688,576.23
913,SHORT,2022-07-09T09:49:59.999Z,1218.57,2022-07-09T10:44:59.999Z,1223.87,1000.00,-4.35,-0.4349,571.88
914,SHORT,2022-07-09T11:42:59.999Z,1218.89,2022-07-09T14:20:59.999Z,1219.33,1000.00,-0.36,-0.0361,571.52
915,SHORT,2022-07-09T14:57:59.999Z,1215.25,2022-07-09T15:29:59.999Z,1218.12,1000.00,-2.36,-0.2362,569.16
916,SHORT,2022-07-09T15:45:59.999Z,1214.13,2022-07-09T16:20:59.999Z,1218.88,1000.00,-3.91,-0.3912,565.25
917,SHORT,2022-07-09T19:15:59.999Z,1213.11,2022-07-09T21:25:59.999Z,1222.16,1000.00,-7.46,-0.7460,557.79
918,SHORT,2022-07-09T22:59:59.999Z,1216.29,2022-07-10T16:58:59.999Z,1171.58,1000.00,36.76,3.6759,594.55
919,SHORT,2022-07-10T18:32:59.999Z,1167.52,2022-07-10T20:02:59.999Z,1172.58,1000.00,-4.33,-0.4334,590.21
920,SHORT,2022-07-10T22:12:59.999Z,1165.38,2022-07-11T09:17:59.999Z,1147.38,1000.00,15.45,1.5446,605.66
921,SHORT,2022-07-11T11:51:59.999Z,1143.30,2022-07-11T12:48:59.999Z,1147.08,1000.00,-3.31,-0.3306,602.35
